Job Title,Job Link,Company,Company Link,Experience Required,Location
Data Science Trainer,https://www.naukri.com/job-listings-data-science-trainer-madrid-software-new-delhi-1-to-2-years-060625018422,Madrid Software,https://www.naukri.com/madrid-jobs-careers-123933101,1-2 Yrs ,New Delhi(Saket) 
Modelling & Data Science Director,https://www.naukri.com/job-listings-modelling-data-science-director-merkle-science-new-delhi-pune-bengaluru-6-to-11-years-130325500964,Merkle Science,https://www.naukri.com/merkle-science-jobs-careers-6349468,6-11 Yrs ,"New Delhi, Pune, Bengaluru "
Marketing Analyst - Data Science,https://www.naukri.com/job-listings-marketing-analyst-data-science-triangle-global-noida-pune-bengaluru-12-to-15-years-021122501149,NA,NA,12-15 Yrs ,"Noida, Pune, Bengaluru "
Data Science Analyst,https://www.naukri.com/job-listings-data-science-analyst-aakash-educational-services-aesl-new-delhi-delhi-ncr-9-to-13-years-220525013478,Aakash Educational Services (AESL),https://www.naukri.com/aakash-educational-services-aesl-jobs-careers-32244,9-13 Yrs ,"New Delhi, Delhi / NCR "
Senior Manager-Data Science,https://www.naukri.com/job-listings-senior-manager-data-science-american-express-india-gurugram-6-to-10-years-020625501678,AMERICAN EXPRESS,https://www.naukri.com/american-express-jobs-careers-2256,6-10 Yrs ,Gurugram 
Data Science Decision Analyst Assistant Vice President,https://www.naukri.com/job-listings-data-science-decision-analyst-assistant-vice-president-barclays-shared-services-noida-6-to-11-years-260425500803,Barclays,https://www.naukri.com/barclays-jobs-careers-212359,6-11 Yrs ,Noida 
"Senior Analyst (Data Processing team) Life Science, Gurugram",https://www.naukri.com/job-listings-senior-analyst-data-processing-team-life-science-gurugram-prescient-healthcare-group-gurugram-1-to-4-years-020625014610,Prescient Healthcare Group,https://www.naukri.com/prescient-healthcare-group-jobs-careers-542989,1-4 Yrs ,Hybrid - Gurugram 
Senior Analyst Data Science,https://www.naukri.com/job-listings-senior-analyst-data-science-navit-software-solutions-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-070323501288,Navit Software Solutions,https://www.naukri.com/navit-solutions-jobs-careers-4281988,5-8 Yrs ,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru "
MI and Reporting Analyst Data Science Assistant Vice President,https://www.naukri.com/job-listings-mi-and-reporting-analyst-data-science-assistant-vice-president-barclays-shared-services-noida-6-to-11-years-260425500806,Barclays,https://www.naukri.com/barclays-jobs-careers-212359,6-11 Yrs ,Noida 
S&C Global Network - AI - Hi Tech - Data Science Analyst,https://www.naukri.com/job-listings-s-c-global-network-ai-hi-tech-data-science-analyst-accenture-solutions-pvt-ltd-hyderabad-gurugram-bengaluru-1-to-4-years-120525918600,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,1-4 Yrs ,"Hyderabad, Gurugram, Bengaluru "
